customer_id,age,gender,location,monthly_income,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,monthly_emi_outflow,target_credit_score_movement
8270,59,Male,Hyderabad,148399,189844,0.8506016625383769,2,42,5,1,66703,263267,933112,42,75394,stable
1860,30,Other,Hyderabad,77227,313512,0.9169291713950662,8,92,71,4,158780,499290,1022482,51,45224,decrease
6390,60,Male,Hyderabad,34381,188447,0.7458918927509962,2,70,46,4,276390,314341,1799934,28,22166,stable
6191,37,Male,Bangalore,154472,148032,0.6586113323860296,2,15,76,1,78238,181781,1326159,56,86075,stable
6734,57,Female,Mumbai,113398,174969,1.0130760674664079,1,82,41,2,77742,61424,1463751,33,21516,stable
7265,35,Male,Mumbai,32249,148545,0.884686332526006,9,19,29,0,285593,197057,1439163,5,4931,stable
1466,29,Male,Bangalore,46264,466032,0.6255630229008902,2,62,24,2,59715,445642,1733124,47,11564,stable
5426,52,Female,Hyderabad,79220,718651,1.0333609178591723,9,97,38,3,204687,355406,844932,40,54029,decrease
6578,43,Female,Bangalore,178955,267422,0.2935070901453025,3,98,11,3,279384,185785,401948,56,32720,stable
9322,31,Male,Bangalore,198378,692881,1.071635856268187,8,67,52,1,19132,58552,168348,43,112016,stable
2685,33,Female,Chennai,65560,501613,0.28646380970771007,2,49,82,2,244165,459637,987612,17,39957,stable
1769,38,Female,Chennai,133526,901482,0.37216724910320054,2,15,79,3,293655,303999,68171,48,67727,stable
7949,29,Female,Delhi,132626,488047,0.3911300530113838,8,75,36,3,43729,145078,1310081,13,17597,stable
3433,62,Female,Delhi,138797,791303,0.17044149596213307,1,91,61,1,193780,291333,1076695,51,86113,stable
6311,25,Female,Bangalore,60955,621321,0.42840407188323626,6,31,21,0,190939,70074,629497,38,21328,stable
6051,63,Female,Chennai,137803,741051,0.40458435408613724,4,95,73,4,244998,119687,223934,20,67219,stable
7420,42,Female,Hyderabad,163066,643638,0.7486671246720099,8,46,55,2,12510,487637,581131,31,110817,stable
2184,52,Female,Delhi,95561,296800,0.7579613781022179,9,96,16,0,120678,92860,659999,14,52268,stable
5555,22,Female,Hyderabad,18315,831547,0.703749569366163,8,92,3,2,225316,249276,685688,54,12048,stable
